date,time,min price,num tickets left
10/10/21,7:10,78.25,137
10/10/21,7:40,78.25,133
10/10/21,8:10,77.7,129
10/10/21,8:40,76.99,101
10/10/21,9:10,89,61
10/10/21,9:40,87.5,67
10/10/21,10:10,69.99,140
10/10/21,10:40,57.5,130
10/10/21,11:10,64.99,119
10/10/21,11:40,64.99,106
10/10/21,12:10,64.99,109
10/10/21,12:40,75,92
10/10/21,13:10,70,80
10/10/21,13:40,77.77,73
10/10/21,14:10,74.99,66
10/10/21,14:40,70,60
10/10/21,15:10,63.99,50
10/10/21,15:40,57,62
10/10/21,16:10,56.33,58
10/10/21,16:40,44,53
10/10/21,17:10,44,43
10/10/21,17:40,49.5,15
10/10/21,18:10,40,13
10/10/21,18:40,90,10
