date,time,min price,num tickets left
10/8/21,15:15,207,73
10/8/21,15:22,207,72
10/8/21,15:29,207,71
10/8/21,15:36,207,73
10/8/21,15:43,213,71
10/8/21,15:50,214,70
10/8/21,15:57,214,70
10/8/21,16:04,211,69
10/8/21,16:11,215,65
10/8/21,16:18,210,65
10/8/21,16:25,210,65
10/8/21,16:32,210,65
10/8/21,16:39,215,64
10/8/21,16:46,215,64
10/8/21,16:53,209,69
10/8/21,17:00,206,68
10/8/21,17:07,207,66
10/8/21,17:14,200,68
10/8/21,17:21,207,65
10/8/21,17:29,207,65
10/8/21,17:36,207,65
10/8/21,17:43,207,65
10/8/21,17:50,206,64
10/8/21,17:57,199,61
10/8/21,18:04,199,61
10/8/21,18:11,195,60
10/8/21,18:18,194,60
10/8/21,18:25,190,60
10/8/21,18:32,175,69
10/8/21,18:39,161,74
10/8/21,18:46,164,71
10/8/21,18:53,164,70
10/8/21,19:07,164,78
10/8/21,19:14,164,78
10/8/21,19:21,164,78
10/8/21,19:28,164,78
10/8/21,19:35,164,78
10/8/21,19:42,164,76
10/8/21,19:49,175,75
10/8/21,19:56,170,79
10/8/21,20:03,170,79
10/8/21,20:17,170,79
10/8/21,20:24,170,79
10/8/21,20:31,170,79
10/8/21,20:38,170,79
10/8/21,20:45,170,79
10/8/21,20:52,170,79
10/8/21,20:59,170,79
10/8/21,21:06,170,79
10/8/21,21:14,170,79
10/8/21,21:21,170,79
10/8/21,21:28,170,79
10/8/21,21:35,170,79
10/8/21,21:42,170,79
10/8/21,21:49,170,79
10/8/21,21:56,170,79
10/8/21,22:17,170,77
10/8/21,22:24,170,77
10/8/21,22:31,170,77
10/8/21,22:38,170,77
10/8/21,22:45,170,77
10/8/21,22:52,170,77
10/8/21,22:59,170,77
10/8/21,23:13,170,77
10/8/21,23:20,170,77
10/8/21,23:27,170,77
10/8/21,23:34,170,77
10/8/21,23:41,170,77
10/8/21,23:48,170,77
10/8/21,23:55,170,77
10/9/21,0:02,170,77
10/9/21,0:09,170,77
10/9/21,0:16,170,77
10/9/21,0:23,170,77
10/9/21,0:30,170,77
10/9/21,0:37,170,76
10/9/21,0:44,170,76
10/9/21,0:52,170,76
10/9/21,0:59,170,76
10/9/21,1:13,170,76
10/9/21,1:20,170,75
10/9/21,1:27,170,73
10/9/21,1:34,173,71
10/9/21,1:41,173,71
10/9/21,1:48,173,71
10/9/21,1:55,173,71
10/9/21,2:09,173,71
10/9/21,2:16,173,71
10/9/21,2:23,173,71
10/9/21,2:30,173,71
10/9/21,2:37,173,71
10/9/21,2:44,173,71
10/9/21,2:51,173,71
10/9/21,2:58,173,71
10/9/21,3:34,173,71
10/9/21,3:41,173,71
10/9/21,3:48,173,71
10/9/21,3:55,173,71
10/9/21,4:44,173,71
10/9/21,4:51,173,71
10/9/21,4:58,173,71
10/9/21,5:05,169,71
10/9/21,5:12,169,70
10/9/21,5:19,169,70
10/9/21,5:26,169,70
10/9/21,5:33,169,70
10/9/21,5:40,169,70
10/9/21,5:47,169,70
10/9/21,5:54,169,70
10/9/21,6:29,169,70
10/9/21,6:36,169,70
10/9/21,6:43,169,70
10/9/21,6:50,169,70
10/9/21,6:57,169,70
10/9/21,7:18,169,69
10/9/21,7:25,169,67
10/9/21,7:32,169,67
10/9/21,7:39,169,67
10/9/21,7:43,169,67
10/9/21,7:50,169,67
10/9/21,7:57,169,67
10/9/21,8:40,169,67
10/9/21,8:47,169,67
10/9/21,8:54,169,67
10/9/21,9:43,169,67
10/9/21,9:50,169,67
10/9/21,9:57,169,67
10/9/21,10:11,169,67
